Fic number,Character name,Times mentioned
0,Beelzebub,29
0,Dagon,10
0,Oh,16
0,Crowley,70
0,Hell,5
0,Lucifer,4
0,Downstairs,1
0,Gabe,1
0,Couldn,2
0,Gabriel,31
0,Dunno,2
0,Angel,2
0,Alright,1
0,Just,3
0,Okay,1
0,Don,9
0,Candy,1
0,Crush,1
0,Aziraphale,54
0,Quite,1
0,Tennyson,1
0,Mind,1
0,Darling,4
0,Tennysons.,1
0,Tennyson.,4
0,Earth.,1
0,Asmodeous,1
0,Surprizzze,1
0,me.,1
0,Yeah,5
0,Well,12
0,Jury,1
0,Asmodeus,1
0,Baal,1
0,Marax,1
0,Astaroth,1
0,Murmur,1
0,Fuck,1
0,St,1
0,Emillion,1
0,Bookshop,1
0,Maybe,2
0,Airaphale,1
0,God,8
0,Crowley.,3
0,Oooo,1
0,Byron,1
0,Tenny,1
0,Screw,1
0,Sorry,2
0,Shouldn,2
0,Michael,13
0,Heaven,2
0,Shut,1
0,Bee.,2
0,Um,3
0,It,2
0,Come,1
0,Mhm,1
0,Remember,1
0,Mmm.,1
0,Let,2
0,Shepard,1
0,Pie.,1
0,Gluttony,1
0,Ian,1
0,Nah,1
0,Shush.,1
0,He,2
0,Hmm.,2
0,She,1
0,So,3
0,Ah,2
0,Bee,2
0,Gabe.,3
0,No,3
0,Pub.,2
0,See,1
0,Spread.,1
0,Drink,2
0,Five.,1
0,Cheers.,2
0,Ain,1
0,Falls,1
0,Must,1
0,Devil,1
0,Dyke,1
0,Penny,1
0,Nostalgic,1
0,Herself,2
0,spots.,1
0,angel.,1
0,Perfection.,1
0,Neither,1
0,Hell.,2
0,***,3
0,Before.,2
0,Oh_.,1
0,Yes,3
0,darling.,1
0,Isn,2
0,Mine,2
0,Lord,5
0,”,3
0,Was,1
0,though.,3
0,Hm,1
0,Peliel,1
0,Virtues,1
0,Archangel.,1
0,Hi,1
0,Horrible,1
0,anyway.,1
0,Mmm,1
0,Oscar,1
0,Hello,2
0,dear.,1
0,Fabulous,1
0,everything.,1
0,Earl,1
0,Gray,1
0,Madame,1
0,Tracy,1
0,Name,1
0,Gertie,1
0,Reggie,1
0,Upstairs,1
0,Gertrude,1
0,Sold.,1
0,Patrick,1
0,Myeah,1
0,Pub,1
0,Up.,1
0,Thanks.,1
0,Michael.,1
0,Problem,1
0,Helen,1
0,Aren,2
0,First,1
0,Nhhh.,1
0,Nhhhhn,1
0,Satan,3
0,Murphy,2
0,Raphael,12
0,Jophiel,9
0,WHAT,2
0,Behave,1
0,Chamuel,1
0,Insurance.,2
0,Be,1
0,Go,1
0,Rapahel,1
0,Not…ideal,1
0,Raph,1
0,Zaphiel,4
0,Seraphiel,5
0,Pravuil,5
0,Pravie.,2
0,Master.,1
0,That,1
0,Listen,2
0,Zephiel,1
0,Kokabiel.,1
0,Kokabiel,2
0,Vretiel,1
0,Eric,7
0,Hey,2
0,Shawrma,1
0,properly.,1
0,Hastur,1
0,Holy,1
0,Am,1
0,I….you…,1
0,Are,1
0,you,1
0,Zzzo,1
0,Archangel,1
0,really.,1
0,Guess,1
0,Raphael.,1
0,Archives.,1
0,Can,1
0,Wha,1
